India/States/UTs,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
A&N islands,81.3,81.78454545,82.26909091,82.75363636,83.23818182,83.72272727,84.20727273,84.69181818,85.17636364,85.66090909,86.63,87.11454545,-0.484545455
Andhra Pradesh,60.47,61.06545455,61.66090909,62.25636364,62.85181818,63.44727273,64.04272727,64.63818182,65.23363636,65.82909091,67.02,67.61545455,-0.595454545
Arunachal Pradesh,54.34,55.34363636,56.34727273,57.35090909,58.35454545,59.35818182,60.36181818,61.36545455,62.36909091,63.37272727,65.38,66.38363636,-1.003636364
Assam,63.25,64.06272727,64.87545455,65.68818182,66.50090909,67.31363636,68.12636364,68.93909091,69.75181818,70.56454545,72.19,73.00272727,-0.812727273
Bihar,47,48.34545455,49.69090909,51.03636364,52.38181818,53.72727273,55.07272727,56.41818182,57.76363636,59.10909091,61.8,63.14545455,-1.345454545
Chandigarh,81.94,82.31363636,82.68727273,83.06090909,83.43454545,83.80818182,84.18181818,84.55545455,84.92909091,85.30272727,86.05,86.42363636,-0.373636364
Chhattisgarh,64.66,65.17090909,65.68181818,66.19272727,66.70363636,67.21454545,67.72545455,68.23636364,68.74727273,69.25818182,70.28,70.79090909,-0.510909091
Dadra and Nagar Haveli,57.63,59.32181818,61.01363636,62.70545455,64.39727273,66.08909091,67.78090909,69.47272727,71.16454545,72.85636364,76.24,77.93181818,-1.691818182
Daman and Diu,78.18,78.99090909,79.80181818,80.61272727,81.42363636,82.23454545,83.04545455,83.85636364,84.66727273,85.47818182,87.1,87.91090909,-0.810909091
Delhi,81.67,82.08272727,82.49545455,82.90818182,83.32090909,83.73363636,84.14636364,84.55909091,84.97181818,85.38454545,86.21,86.62272727,-0.412727273
Goa,82.01,82.61818182,83.22636364,83.83454545,84.44272727,85.05090909,85.65909091,86.26727273,86.87545455,87.48363636,88.7,89.30818182,-0.608181818
Gujarat,69.14,69.94818182,70.75636364,71.56454545,72.37272727,73.18090909,73.98909091,74.79727273,75.60545455,76.41363636,78.03,78.83818182,-0.808181818
Haryana,67.91,68.60454545,69.29909091,69.99363636,70.68818182,71.38272727,72.07727273,72.77181818,73.46636364,74.16090909,75.55,76.24454545,-0.694545455
Himachal Pradesh,76.48,77.05454545,77.62909091,78.20363636,78.77818182,79.35272727,79.92727273,80.50181818,81.07636364,81.65090909,82.8,83.37454545,-0.574545455
Jammu and Kashmir,55.52,56.57818182,57.63636364,58.69454545,59.75272727,60.81090909,61.86909091,62.92727273,63.98545455,65.04363636,67.16,68.21818182,-1.058181818
Jharkhand,53.56,54.72818182,55.89636364,57.06454545,58.23272727,59.40090909,60.56909091,61.73727273,62.90545455,64.07363636,66.41,67.57818182,-1.168181818
Karnataka,66.06,66.90545455,67.75090909,68.59636364,69.44181818,70.28727273,71.13272727,71.97818182,72.82363636,73.66909091,75.36,76.20545455,-0.845454545
Kerala,90.86,91.14545455,91.43090909,91.71636364,92.00181818,92.28727273,92.57272727,92.85818182,93.14363636,93.42909091,94,94.28545455,-0.285454545
Lakshadweep,86.66,87.13181818,87.60363636,88.07545455,88.54727273,89.01909091,89.49090909,89.96272727,90.43454545,90.90636364,91.85,92.32181818,-0.471818182
Madhya Pradesh,63.74,64.24727273,64.75454545,65.26181818,65.76909091,66.27636364,66.78363636,67.29090909,67.79818182,68.30545455,69.32,69.82727273,-0.507272727
Maharashtra,76.84,77.34,77.84,78.34,78.84,79.34,79.84,80.34,80.84,81.34,82.34,82.84,-0.5
Manipur,70.5,71.08545455,71.67090909,72.25636364,72.84181818,73.42727273,74.01272727,74.59818182,75.18363636,75.76909091,76.94,77.52545455,-0.585454545
Meghalya,62.56,63.63909091,64.71818182,65.79727273,66.87636364,67.95545455,69.03454545,70.11363636,71.19272727,72.27181818,74.43,75.50909091,-1.079090909
Mizoram,88.8,89.03,89.26,89.49,89.72,89.95,90.18,90.41,90.64,90.87,91.33,91.56,-0.23
Nagaland,66.59,67.76818182,68.94636364,70.12454545,71.30272727,72.48090909,73.65909091,74.83727273,76.01545455,77.19363636,79.55,80.72818182,-1.178181818
Odisha,63.08,63.97,64.86,65.75,66.64,67.53,68.42,69.31,70.2,71.09,72.87,73.76,-0.89
Puducherry,81.24,81.65909091,82.07818182,82.49727273,82.91636364,83.33545455,83.75454545,84.17363636,84.59272727,85.01181818,85.85,86.26909091,-0.419090909
Punjab,69.65,70.21272727,70.77545455,71.33818182,71.90090909,72.46363636,73.02636364,73.58909091,74.15181818,74.71454545,75.84,76.40272727,-0.562727273
Rajasthan,60.41,60.92818182,61.44636364,61.96454545,62.48272727,63.00090909,63.51909091,64.03727273,64.55545455,65.07363636,66.11,66.62818182,-0.518181818
Sikkim,68.81,69.95636364,71.10272727,72.24909091,73.39545455,74.54181818,75.68818182,76.83454545,77.98090909,79.12727273,81.42,82.56636364,-1.146363636
Tamil Nadu,73.45,74.07545455,74.70090909,75.32636364,75.95181818,76.57727273,77.20272727,77.82818182,78.45363636,79.07909091,80.33,80.95545455,-0.625454545
Tripura,73.19,74.46545455,75.74090909,77.01636364,78.29181818,79.56727273,80.84272727,82.11818182,83.39363636,84.66909091,87.22,88.49545455,-1.275454545
Uttar Pradesh,56.27,57.30727273,58.34454545,59.38181818,60.41909091,61.45636364,62.49363636,63.53090909,64.56818182,65.60545455,67.68,68.71727273,-1.037272727
Uttarakhand,71.62,72.27454545,72.92909091,73.58363636,74.23818182,74.89272727,75.54727273,76.20181818,76.85636364,77.51090909,78.82,79.47454545,-0.654545455
West Bengal,68.64,69.33272727,70.02545455,70.71818182,71.41090909,72.10363636,72.79636364,73.48909091,74.18181818,74.87454545,76.26,76.95272727,-0.692727273
India,64.84,65.67636364,66.51272727,67.34909091,68.18545455,69.02181818,69.85818182,70.69454545,71.53090909,72.36727273,74.04,74.87636364,-0.836363636
